,Company,Review Date,Cocoa Percent,Company Location,Rating,Broad Origin,Cocoa category
0,A. Morin,2016,0.63,France,3.75,Sao Tome,Low Cocoa Mass
1,A. Morin,2015,0.7,France,2.75,Togo,Medium Cocoa Mass
2,A. Morin,2015,0.7,France,3.0,Togo,Medium Cocoa Mass
3,A. Morin,2015,0.7,France,3.5,Togo,Medium Cocoa Mass
4,A. Morin,2015,0.7,France,3.5,Peru,Medium Cocoa Mass
5,A. Morin,2014,0.7,France,2.75,Venezuela,Medium Cocoa Mass
6,A. Morin,2014,0.7,France,3.5,Cuba,Medium Cocoa Mass
7,A. Morin,2014,0.7,France,3.5,Venezuela,Medium Cocoa Mass
8,A. Morin,2014,0.7,France,3.75,Venezuela,Medium Cocoa Mass
9,A. Morin,2014,0.7,France,4.0,Peru,Medium Cocoa Mass
10,A. Morin,2013,0.7,France,2.75,Panama,Medium Cocoa Mass
11,A. Morin,2013,0.7,France,3.0,Madagascar,Medium Cocoa Mass
12,A. Morin,2013,0.7,France,3.25,Brazil,Medium Cocoa Mass
13,A. Morin,2013,0.7,France,3.75,Ecuador,Medium Cocoa Mass
14,A. Morin,2013,0.7,France,2.75,Colombia,Medium Cocoa Mass
15,A. Morin,2013,0.7,France,3.0,Burma,Medium Cocoa Mass
16,A. Morin,2013,0.7,France,3.25,Papua New Guinea,Medium Cocoa Mass
17,A. Morin,2013,0.7,France,4.0,Venezuela,Medium Cocoa Mass
18,A. Morin,2013,0.7,France,3.25,Peru,Medium Cocoa Mass
19,A. Morin,2013,0.7,France,3.5,Peru,Medium Cocoa Mass
20,A. Morin,2013,0.63,France,4.0,Peru,Low Cocoa Mass
21,A. Morin,2012,0.7,France,3.5,Bolivia,Medium Cocoa Mass
22,A. Morin,2012,0.63,France,3.75,Peru,Low Cocoa Mass
23,Acalli,2015,0.7,U.S.A.,3.75,Peru,Medium Cocoa Mass
24,Acalli,2015,0.7,U.S.A.,3.75,Peru,Medium Cocoa Mass
25,Adi,2011,0.6,Fiji,2.75,Fiji,Low Cocoa Mass
26,Adi,2011,0.8,Fiji,3.25,Fiji,High Cocoa Mass
27,Adi,2011,0.88,Fiji,3.5,Fiji,High Cocoa Mass
28,Adi,2011,0.72,Fiji,3.5,Fiji,Medium Cocoa Mass
29,Aequare (Gianduja),2009,0.55,Ecuador,2.75,Ecuador,Low Cocoa Mass
30,Aequare (Gianduja),2009,0.7,Ecuador,3.0,Ecuador,Medium Cocoa Mass
31,Ah Cacao,2009,0.7,Mexico,3.0,Mexico,Medium Cocoa Mass
32,Akesson's (Pralus),2011,0.75,Switzerland,3.75,Indonesia,Medium Cocoa Mass
33,Akesson's (Pralus),2010,0.75,Switzerland,2.75,Madagascar,Medium Cocoa Mass
34,Akesson's (Pralus),2010,0.75,Switzerland,2.75,Brazil,Medium Cocoa Mass
35,Alain Ducasse,2014,0.65,France,2.75,Trinidad,Low Cocoa Mass
36,Alain Ducasse,2014,0.75,France,2.75,Vietnam,Medium Cocoa Mass
37,Alain Ducasse,2014,0.75,France,3.0,Madagascar,Medium Cocoa Mass
38,Alain Ducasse,2013,0.75,France,2.5,Venezuela,Medium Cocoa Mass
39,Alain Ducasse,2013,0.75,France,2.5,Peru,Medium Cocoa Mass
40,Alexandre,2017,0.7,Netherlands,3.5,Ecuador,Medium Cocoa Mass
41,Alexandre,2017,0.7,Netherlands,3.5,Nicaragua,Medium Cocoa Mass
42,Alexandre,2017,0.7,Netherlands,3.5,Vietnam,Medium Cocoa Mass
43,Alexandre,2017,0.7,Netherlands,3.5,Tanzania,Medium Cocoa Mass
44,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.75,Nicaragua,Low Cocoa Mass
45,Altus aka Cao Artisan,2016,0.6,U.S.A.,3.0,Peru,Low Cocoa Mass
46,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.5,Bolivia,Low Cocoa Mass
47,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.5,Peru,Low Cocoa Mass
48,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.75,Ecuador,Low Cocoa Mass
49,Altus aka Cao Artisan,2013,0.6,U.S.A.,2.5,Venezuela,Low Cocoa Mass
50,Altus aka Cao Artisan,2013,0.6,U.S.A.,3.0,Dominican Republic,Low Cocoa Mass
51,Altus aka Cao Artisan,2013,0.8,U.S.A.,3.25,Bolivia,High Cocoa Mass
52,Altus aka Cao Artisan,2013,0.6,U.S.A.,3.0,Bolivia,Low Cocoa Mass
53,Altus aka Cao Artisan,2013,0.6,U.S.A.,3.25,Peru,Low Cocoa Mass
54,Amano,2011,0.7,U.S.A.,4.0,Papua New Guinea,Medium Cocoa Mass
55,Amano,2010,0.7,U.S.A.,3.75,Dominican Republic,Medium Cocoa Mass
56,Amano,2010,0.7,U.S.A.,4.0,Ecuador,Medium Cocoa Mass
57,Amano,2010,0.7,U.S.A.,3.0,Venezuela,Medium Cocoa Mass
58,Amano,2009,0.7,U.S.A.,3.0,Venezuela,Medium Cocoa Mass
59,Amano,2008,0.7,U.S.A.,2.75,Indonesia,Medium Cocoa Mass
60,Amano,2007,0.7,U.S.A.,3.5,Madagascar,Medium Cocoa Mass
61,Amano,2007,0.7,U.S.A.,3.0,Venezuela,Medium Cocoa Mass
62,Amano,2007,0.7,U.S.A.,3.75,Venezuela,Medium Cocoa Mass
63,Amatller (Simon Coll),2009,0.7,Spain,3.0,Ghana,Medium Cocoa Mass
64,Amatller (Simon Coll),2009,0.7,Spain,2.75,Ecuador,Medium Cocoa Mass
65,Amatller (Simon Coll),2009,0.85,Spain,2.75,Ecuador,High Cocoa Mass
66,Amatller (Simon Coll),2009,0.85,Spain,3.0,Ghana,High Cocoa Mass
67,Amazona,2013,0.72,Peru,3.25,Peru,Medium Cocoa Mass
68,Amazona,2013,0.73,Peru,3.5,Peru,Medium Cocoa Mass
69,Ambrosia,2015,0.64,Canada,3.0,Belize,Low Cocoa Mass
70,Ambrosia,2015,0.66,Canada,3.25,Madagascar,Low Cocoa Mass
71,Ambrosia,2015,0.75,Canada,3.25,Dominican Republic,Medium Cocoa Mass
72,Ambrosia,2015,0.63,Canada,3.25,Papua New Guinea,Low Cocoa Mass
73,Ambrosia,2015,0.7,Canada,3.25,Venezuela,Medium Cocoa Mass
74,Ambrosia,2015,0.68,Canada,3.5,Peru,Low Cocoa Mass
75,Amedei,2012,0.7,Italy,3.75,Peru,Medium Cocoa Mass
76,Amedei,2007,0.7,Italy,4.0,Venezuela,Medium Cocoa Mass
77,Amedei,2007,0.75,Italy,4.0, ,Medium Cocoa Mass
78,Amedei,2007,0.7,Italy,5.0,Venezuela,Medium Cocoa Mass
79,Amedei,2007,0.7,Italy,3.0,Ecuador,Medium Cocoa Mass
80,Amedei,2007,0.7,Italy,3.0,Jamaica,Medium Cocoa Mass
81,Amedei,2007,0.7,Italy,3.5,Grenada,Medium Cocoa Mass
82,Amedei,2007,0.7,Italy,3.75,Venezuela,Medium Cocoa Mass
83,Amedei,2007,0.7,Italy,4.0,Madagascar,Medium Cocoa Mass
