,Company,Review Date,Cocoa Percent,Company Location,Rating,Origin,Cocoa Category,Clusters,Cluster
0,A. Morin,2016,0.63,France,3.75,Sao Tome,Low Cocoa Mass,1,purple
1,A. Morin,2015,0.7,France,2.75,Togo,Medium Cocoa Mass,1,purple
2,A. Morin,2015,0.7,France,3.0,Togo,Medium Cocoa Mass,1,purple
3,A. Morin,2015,0.7,France,3.5,Togo,Medium Cocoa Mass,1,purple
4,A. Morin,2015,0.7,France,3.5,Peru,Medium Cocoa Mass,1,purple
5,A. Morin,2014,0.7,France,2.75,Venezuela,Medium Cocoa Mass,1,purple
6,A. Morin,2014,0.7,France,3.5,Cuba,Medium Cocoa Mass,1,purple
7,A. Morin,2014,0.7,France,3.5,Venezuela,Medium Cocoa Mass,1,purple
8,A. Morin,2014,0.7,France,3.75,Venezuela,Medium Cocoa Mass,1,purple
9,A. Morin,2014,0.7,France,4.0,Peru,Medium Cocoa Mass,1,purple
10,A. Morin,2013,0.7,France,2.75,Panama,Medium Cocoa Mass,0,pink
11,A. Morin,2013,0.7,France,3.0,Madagascar,Medium Cocoa Mass,0,pink
12,A. Morin,2013,0.7,France,3.25,Brazil,Medium Cocoa Mass,0,pink
13,A. Morin,2013,0.7,France,3.75,Ecuador,Medium Cocoa Mass,0,pink
14,A. Morin,2013,0.7,France,2.75,Colombia,Medium Cocoa Mass,0,pink
15,A. Morin,2013,0.7,France,3.0,Burma,Medium Cocoa Mass,0,pink
16,A. Morin,2013,0.7,France,3.25,Papua New Guinea,Medium Cocoa Mass,0,pink
17,A. Morin,2013,0.7,France,4.0,Venezuela,Medium Cocoa Mass,0,pink
18,A. Morin,2013,0.7,France,3.25,Peru,Medium Cocoa Mass,0,pink
19,A. Morin,2013,0.7,France,3.5,Peru,Medium Cocoa Mass,0,pink
20,A. Morin,2013,0.63,France,4.0,Peru,Low Cocoa Mass,0,pink
21,A. Morin,2012,0.7,France,3.5,Bolivia,Medium Cocoa Mass,0,pink
22,A. Morin,2012,0.63,France,3.75,Peru,Low Cocoa Mass,0,pink
23,Acalli,2015,0.7,U.S.A.,3.75,Peru,Medium Cocoa Mass,1,purple
24,Acalli,2015,0.7,U.S.A.,3.75,Peru,Medium Cocoa Mass,1,purple
25,Adi,2011,0.6,Fiji,2.75,Fiji,Low Cocoa Mass,0,pink
26,Adi,2011,0.8,Fiji,3.25,Fiji,High Cocoa Mass,0,pink
27,Adi,2011,0.88,Fiji,3.5,Fiji,High Cocoa Mass,0,pink
28,Adi,2011,0.72,Fiji,3.5,Fiji,Medium Cocoa Mass,0,pink
29,Aequare (Gianduja),2009,0.55,Ecuador,2.75,Ecuador,Low Cocoa Mass,2,dark purple
30,Aequare (Gianduja),2009,0.7,Ecuador,3.0,Ecuador,Medium Cocoa Mass,2,dark purple
31,Ah Cacao,2009,0.7,Mexico,3.0,Mexico,Medium Cocoa Mass,2,dark purple
32,Akesson's (Pralus),2011,0.75,Switzerland,3.75,Indonesia,Medium Cocoa Mass,0,pink
33,Akesson's (Pralus),2010,0.75,Switzerland,2.75,Madagascar,Medium Cocoa Mass,0,pink
34,Akesson's (Pralus),2010,0.75,Switzerland,2.75,Brazil,Medium Cocoa Mass,0,pink
35,Alain Ducasse,2014,0.65,France,2.75,Trinidad,Low Cocoa Mass,1,purple
36,Alain Ducasse,2014,0.75,France,2.75,Vietnam,Medium Cocoa Mass,1,purple
37,Alain Ducasse,2014,0.75,France,3.0,Madagascar,Medium Cocoa Mass,1,purple
38,Alain Ducasse,2013,0.75,France,2.5,Venezuela,Medium Cocoa Mass,0,pink
39,Alain Ducasse,2013,0.75,France,2.5,Peru,Medium Cocoa Mass,0,pink
40,Alexandre,2017,0.7,Netherlands,3.5,Ecuador,Medium Cocoa Mass,1,purple
41,Alexandre,2017,0.7,Netherlands,3.5,Nicaragua,Medium Cocoa Mass,1,purple
42,Alexandre,2017,0.7,Netherlands,3.5,Vietnam,Medium Cocoa Mass,1,purple
43,Alexandre,2017,0.7,Netherlands,3.5,Tanzania,Medium Cocoa Mass,1,purple
44,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.75,Nicaragua,Low Cocoa Mass,1,purple
45,Altus aka Cao Artisan,2016,0.6,U.S.A.,3.0,Peru,Low Cocoa Mass,1,purple
46,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.5,Bolivia,Low Cocoa Mass,1,purple
47,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.5,Peru,Low Cocoa Mass,1,purple
48,Altus aka Cao Artisan,2016,0.6,U.S.A.,2.75,Ecuador,Low Cocoa Mass,1,purple
49,Altus aka Cao Artisan,2013,0.6,U.S.A.,2.5,Venezuela,Low Cocoa Mass,0,pink
50,Altus aka Cao Artisan,2013,0.6,U.S.A.,3.0,Dominican Republic,Low Cocoa Mass,0,pink
51,Altus aka Cao Artisan,2013,0.8,U.S.A.,3.25,Bolivia,High Cocoa Mass,0,pink
52,Altus aka Cao Artisan,2013,0.6,U.S.A.,3.0,Bolivia,Low Cocoa Mass,0,pink
53,Altus aka Cao Artisan,2013,0.6,U.S.A.,3.25,Peru,Low Cocoa Mass,0,pink
54,Amano,2011,0.7,U.S.A.,4.0,Papua New Guinea,Medium Cocoa Mass,0,pink
55,Amano,2010,0.7,U.S.A.,3.75,Dominican Republic,Medium Cocoa Mass,0,pink
56,Amano,2010,0.7,U.S.A.,4.0,Ecuador,Medium Cocoa Mass,0,pink
57,Amano,2010,0.7,U.S.A.,3.0,Venezuela,Medium Cocoa Mass,0,pink
58,Amano,2009,0.7,U.S.A.,3.0,Venezuela,Medium Cocoa Mass,2,dark purple
59,Amano,2008,0.7,U.S.A.,2.75,Indonesia,Medium Cocoa Mass,2,dark purple
60,Amano,2007,0.7,U.S.A.,3.5,Madagascar,Medium Cocoa Mass,2,dark purple
61,Amano,2007,0.7,U.S.A.,3.0,Venezuela,Medium Cocoa Mass,2,dark purple
62,Amano,2007,0.7,U.S.A.,3.75,Venezuela,Medium Cocoa Mass,2,dark purple
63,Amatller (Simon Coll),2009,0.7,Spain,3.0,Ghana,Medium Cocoa Mass,2,dark purple
64,Amatller (Simon Coll),2009,0.7,Spain,2.75,Ecuador,Medium Cocoa Mass,2,dark purple
65,Amatller (Simon Coll),2009,0.85,Spain,2.75,Ecuador,High Cocoa Mass,2,dark purple
66,Amatller (Simon Coll),2009,0.85,Spain,3.0,Ghana,High Cocoa Mass,2,dark purple
67,Amazona,2013,0.72,Peru,3.25,Peru,Medium Cocoa Mass,0,pink
68,Amazona,2013,0.73,Peru,3.5,Peru,Medium Cocoa Mass,0,pink
69,Ambrosia,2015,0.64,Canada,3.0,Belize,Low Cocoa Mass,1,purple
70,Ambrosia,2015,0.66,Canada,3.25,Madagascar,Low Cocoa Mass,1,purple
71,Ambrosia,2015,0.75,Canada,3.25,Dominican Republic,Medium Cocoa Mass,1,purple
72,Ambrosia,2015,0.63,Canada,3.25,Papua New Guinea,Low Cocoa Mass,1,purple
73,Ambrosia,2015,0.7,Canada,3.25,Venezuela,Medium Cocoa Mass,1,purple
74,Ambrosia,2015,0.68,Canada,3.5,Peru,Low Cocoa Mass,1,purple
75,Amedei,2012,0.7,Italy,3.75,Peru,Medium Cocoa Mass,0,pink
76,Amedei,2007,0.7,Italy,4.0,Venezuela,Medium Cocoa Mass,2,dark purple
77,Amedei,2007,0.75,Italy,4.0, ,Medium Cocoa Mass,2,dark purple
78,Amedei,2007,0.7,Italy,5.0,Venezuela,Medium Cocoa Mass,2,dark purple
79,Amedei,2007,0.7,Italy,3.0,Ecuador,Medium Cocoa Mass,2,dark purple
80,Amedei,2007,0.7,Italy,3.0,Jamaica,Medium Cocoa Mass,2,dark purple
81,Amedei,2007,0.7,Italy,3.5,Grenada,Medium Cocoa Mass,2,dark purple
82,Amedei,2007,0.7,Italy,3.75,Venezuela,Medium Cocoa Mass,2,dark purple
83,Amedei,2007,0.7,Italy,4.0,Madagascar,Medium Cocoa Mass,2,dark purple
84,Amedei,2007,0.7,Italy,3.5,Trinidad,Medium Cocoa Mass,2,dark purple
85,Amedei,2007,0.63,Italy,3.5, ,Low Cocoa Mass,2,dark purple
86,Amedei,2006,0.7,Italy,5.0, ,Medium Cocoa Mass,2,dark purple
87,Amedei,2006,0.66,Italy,4.0, ,Low Cocoa Mass,2,dark purple
88,AMMA,2013,0.75,Brazil,3.25,Brazil,Medium Cocoa Mass,0,pink
89,AMMA,2010,0.85,Brazil,2.75,Brazil,High Cocoa Mass,0,pink
90,AMMA,2010,0.5,Brazil,3.75,Brazil,Low Cocoa Mass,0,pink
91,AMMA,2010,0.75,Brazil,3.75,Brazil,Medium Cocoa Mass,0,pink
92,AMMA,2010,0.6,Brazil,4.0,Brazil,Low Cocoa Mass,0,pink
93,Anahata,2014,0.75,U.S.A.,3.0,Dominican Republic,Medium Cocoa Mass,1,purple
94,Animas,2016,0.75,U.S.A.,3.5,Bolivia,Medium Cocoa Mass,1,purple
95,Ara,2014,0.75,France,3.0,Madagascar,Medium Cocoa Mass,1,purple
96,Ara,2014,0.72,France,2.5,Mexico,Medium Cocoa Mass,1,purple
97,Ara,2014,0.75,France,2.75,Ecuador,Medium Cocoa Mass,1,purple
98,Ara,2014,0.75,France,3.0,Venezuela,Medium Cocoa Mass,1,purple
99,Arete,2016,0.7,U.S.A.,3.5,Trinidad,Medium Cocoa Mass,1,purple
100,Arete,2016,0.7,U.S.A.,3.75,Tanzania,Medium Cocoa Mass,1,purple
101,Arete,2016,0.73,U.S.A.,3.5,Vietnam,Medium Cocoa Mass,1,purple
102,Arete,2016,0.7,U.S.A.,3.25,Ecuador,Medium Cocoa Mass,1,purple
103,Arete,2016,0.7,U.S.A.,3.25,Ecuador,Medium Cocoa Mass,1,purple
104,Arete,2016,0.7,U.S.A.,3.5,Guatemala,Medium Cocoa Mass,1,purple
105,Arete,2016,0.7,U.S.A.,3.75,Nicaragua,Medium Cocoa Mass,1,purple
106,Arete,2016,0.7,U.S.A.,3.5,Honduras,Medium Cocoa Mass,1,purple
107,Arete,2016,0.7,U.S.A.,4.0,Costa Rica,Medium Cocoa Mass,1,purple
108,Arete,2016,0.7,U.S.A.,4.0,Peru,Medium Cocoa Mass,1,purple
109,Arete,2016,0.7,U.S.A.,3.75,Dominican Republic,Medium Cocoa Mass,1,purple
110,Arete,2016,0.7,U.S.A.,3.25,Fiji,Medium Cocoa Mass,1,purple
111,Arete,2016,0.73,U.S.A.,3.25,Vietnam,Medium Cocoa Mass,1,purple
112,Arete,2015,0.7,U.S.A.,3.5,Brazil,Medium Cocoa Mass,1,purple
113,Arete,2015,0.68,U.S.A.,3.5,Peru,Low Cocoa Mass,1,purple
114,Arete,2015,0.7,U.S.A.,3.75,Ecuador,Medium Cocoa Mass,1,purple
115,Arete,2015,0.7,U.S.A.,3.5,Domincan Republic,Medium Cocoa Mass,1,purple
116,Arete,2015,0.7,U.S.A.,3.75,Belize,Medium Cocoa Mass,1,purple
117,Arete,2015,0.7,U.S.A.,4.0,Nicaragua,Medium Cocoa Mass,1,purple
118,Arete,2015,0.75,U.S.A.,2.75,Brazil,Medium Cocoa Mass,1,purple
119,Arete,2015,0.7,U.S.A.,3.25,Guatemala,Medium Cocoa Mass,1,purple
120,Arete,2015,0.75,U.S.A.,3.5,Ecuador,Medium Cocoa Mass,1,purple
